flight_id,flight_date,tail_number,route_id,origin,dest,sched_dep_utc,actual_dep_utc,sched_arr_utc,actual_arr_utc,dep_delay_min,arr_delay_min,delay_code,cancelled,diverted,passengers,cargo_kg,block_min,air_min
MR2888,2025-05-17,VT-AT51,1007,CCU,MAA,2025-05-17T03:30:00Z,2025-05-17T03:30:00Z,2025-05-17T05:57:00Z,2025-05-17T06:02:00Z,0,11,,0,0,139,2331.5,152,138
MR2889,2025-05-17,VT-AT51,1047,MAA,PNQ,2025-05-17T06:47:00Z,2025-05-17T09:16:00Z,2025-05-17T08:39:00Z,2025-05-17T11:19:00Z,149,149,73,0,0,159,677.8,123,95
MR2890,2025-05-17,VT-AT51,1065,PNQ,AMD,2025-05-17T11:56:00Z,2025-05-17T12:31:00Z,2025-05-17T13:19:00Z,2025-05-17T13:57:00Z,35,29,36,0,0,161,1324.3,86,74
MR2891,2025-05-17,VT-AT51,1055,AMD,BOM,2025-05-17T15:05:00Z,2025-05-17T17:49:00Z,2025-05-17T16:22:00Z,2025-05-17T19:15:00Z,164,175,81,0,0,181,340.3,86,66
MR2892,2025-05-17,VT-EV70,1002,MAA,DEL,2025-05-17T02:45:00Z,2025-05-17T03:57:00Z,2025-05-17T05:37:00Z,2025-05-17T06:58:00Z,72,69,61,0,0,133,1634.0,181,160
MR2893,2025-05-17,VT-EV70,1016,DEL,AMD,2025-05-17T07:37:00Z,2025-05-17T07:40:00Z,2025-05-17T09:19:00Z,2025-05-17T09:24:00Z,3,-4,,0,0,156,2326.1,104,90
MR2894,2025-05-17,VT-EV70,1107,AMD,MAA,2025-05-17T10:23:00Z,2025-05-17T11:20:00Z,2025-05-17T12:49:00Z,2025-05-17T13:40:00Z,57,55,93,0,0,165,1060.4,140,129
MR2895,2025-05-17,VT-WJ61,1085,BLR,CCU,2025-05-17T02:30:00Z,2025-05-17T04:59:00Z,2025-05-17T05:10:00Z,2025-05-17T07:42:00Z,149,151,36,0,0,122,1585.1,163,148
MR2896,2025-05-17,VT-WJ61,1015,CCU,BLR,2025-05-17T08:20:00Z,2025-05-17T09:00:00Z,2025-05-17T11:00:00Z,2025-05-17T11:34:00Z,40,34,41,0,0,168,1066.0,154,144
MR2897,2025-05-17,VT-WJ61,1086,BLR,LKO,2025-05-17T12:07:00Z,2025-05-17T12:07:00Z,2025-05-17T14:44:00Z,2025-05-17T14:50:00Z,0,-7,,0,0,117,1620.7,163,148
MR2898,2025-05-17,VT-WJ61,1075,LKO,DEL,2025-05-17T15:41:00Z,2025-05-17T15:41:00Z,2025-05-17T17:00:00Z,2025-05-17T17:08:00Z,0,5,,0,0,161,2421.4,87,66
MR2899,2025-05-17,VT-DJ65,1103,MAA,BOM,2025-05-17T01:45:00Z,2025-05-17T04:43:00Z,2025-05-17T03:46:00Z,2025-05-17T06:44:00Z,178,186,36,0,0,91,1600.3,121,109
MR2900,2025-05-17,VT-DJ65,1028,BOM,CCU,2025-05-17T07:42:00Z,2025-05-17T07:42:00Z,2025-05-17T10:35:00Z,2025-05-17T10:45:00Z,0,12,,0,0,78,1432.3,183,163
MR2901,2025-05-17,VT-DJ65,1073,CCU,LKO,2025-05-17T11:50:00Z,2025-05-17T11:54:00Z,2025-05-17T13:44:00Z,2025-05-17T13:56:00Z,4,5,,0,0,68,1466.8,122,106
MR2902,2025-05-17,VT-DJ65,1001,LKO,BOM,2025-05-17T14:59:00Z,2025-05-17T15:06:00Z,2025-05-17T17:13:00Z,2025-05-17T17:22:00Z,7,16,,0,0,81,2446.1,136,122
MR2903,2025-05-17,VT-PG61,1115,BLR,HYD,2025-05-17T01:45:00Z,2025-05-17T01:45:00Z,2025-05-17T03:03:00Z,2025-05-17T03:00:00Z,0,3,,0,0,67,813.2,75,62
MR2904,2025-05-17,VT-PG61,1106,HYD,BLR,2025-05-17T04:06:00Z,2025-05-17T04:12:00Z,2025-05-17T05:24:00Z,2025-05-17T05:33:00Z,6,10,,0,0,48,1413.5,81,60
MR2905,2025-05-17,VT-RD58,1047,MAA,PNQ,2025-05-17T02:30:00Z,2025-05-17T02:35:00Z,2025-05-17T04:22:00Z,2025-05-17T04:29:00Z,5,1,,0,0,66,1504.6,114,97
MR2906,2025-05-17,VT-RD58,1063,PNQ,BOM,2025-05-17T05:15:00Z,2025-05-17T05:21:00Z,2025-05-17T06:10:00Z,2025-05-17T06:24:00Z,6,15,,0,0,53,1549.8,63,39
MR2907,2025-05-17,VT-RD58,1058,BOM,DEL,2025-05-17T07:22:00Z,2025-05-17T09:00:00Z,2025-05-17T09:30:00Z,2025-05-17T11:16:00Z,98,95,41,0,0,59,1495.9,136,116
MR2908,2025-05-17,VT-RD58,1088,DEL,BOM,2025-05-17T12:14:00Z,2025-05-17T14:34:00Z,2025-05-17T14:22:00Z,2025-05-17T16:54:00Z,140,147,71,0,0,45,1572.5,140,116
MR2909,2025-05-17,VT-WK37,1056,LKO,COK,2025-05-17T03:00:00Z,2025-05-17T03:00:00Z,2025-05-17T06:03:00Z,2025-05-17T05:59:00Z,0,-6,,0,0,119,442.8,179,167
MR2910,2025-05-17,VT-WK37,1019,COK,CCU,2025-05-17T07:00:00Z,,2025-05-17T10:04:00Z,,,,89,1,0,0,0.0,,
MR2911,2025-05-17,VT-NH67,1000,COK,JAI,2025-05-17T02:15:00Z,2025-05-17T03:57:00Z,2025-05-17T05:14:00Z,2025-05-17T06:56:00Z,102,108,73,0,0,157,2496.9,179,164
MR2912,2025-05-17,VT-NH67,1038,JAI,DEL,2025-05-17T07:41:00Z,2025-05-17T07:54:00Z,2025-05-17T08:43:00Z,2025-05-17T08:58:00Z,13,23,,0,0,145,327.3,64,46
MR2913,2025-05-17,VT-NH67,1074,DEL,LKO,2025-05-17T09:58:00Z,2025-05-17T10:21:00Z,2025-05-17T11:17:00Z,2025-05-17T11:42:00Z,23,35,73,0,0,139,558.7,81,64
MR2914,2025-05-17,VT-NH67,1020,LKO,CCU,2025-05-17T12:44:00Z,2025-05-17T13:17:00Z,2025-05-17T14:38:00Z,2025-05-17T15:21:00Z,33,30,36,0,0,167,1428.7,124,97
MR2915,2025-05-17,VT-XE40,1012,CCU,JAI,2025-05-17T03:45:00Z,2025-05-17T03:50:00Z,2025-05-17T06:17:00Z,2025-05-17T06:21:00Z,5,9,,0,0,158,1928.2,151,135
MR2916,2025-05-17,VT-XE40,1048,JAI,LKO,2025-05-17T07:21:00Z,2025-05-17T07:21:00Z,2025-05-17T08:47:00Z,2025-05-17T08:56:00Z,0,12,,0,0,143,1422.9,95,73
MR2917,2025-05-17,VT-XE40,1020,LKO,CCU,2025-05-17T09:49:00Z,2025-05-17T11:34:00Z,2025-05-17T11:43:00Z,2025-05-17T13:41:00Z,105,111,81,0,0,114,412.6,127,105
MR2918,2025-05-17,VT-XE40,1012,CCU,JAI,2025-05-17T14:45:00Z,2025-05-17T14:46:00Z,2025-05-17T17:17:00Z,2025-05-17T17:20:00Z,1,-1,,0,0,174,524.9,154,135
MR2919,2025-05-17,VT-RW64,1074,DEL,LKO,2025/13/01 99:61,2025-05-17T02:00:00Z,2025-05-17T03:19:00Z,2025-05-17T03:30:00Z,0,8,,0,0,52,653.5,90,69
MR2920,2025-05-17,VT-RW64,1020,LKO,CCU,2025-05-17T04:38:00Z,2025-05-17T04:38:00Z,2025-05-17T06:32:00Z,2025-05-17T06:35:00Z,0,-6,,0,0,61,1111.8,117,105
MR2921,2025-05-17,VT-HI60,1116,DEL,CCU,2025-05-17T03:30:00Z,2025-05-17T03:30:00Z,2025-05-17T05:57:00Z,2025-05-17T06:05:00Z,0,1,,0,0,102,234.8,155,135
MR2922,2025-05-17,VT-HI60,1012,CCU,JAI,2025-05-17T06:40:00Z,2025-05-17T07:35:00Z,2025-05-17T09:12:00Z,2025-05-17T10:19:00Z,-45,53,36,0,0,62,2374.6,164,143
MR2923,2025-05-17,VT-OQ42,1011,HYD,MAA,2025-05-17T01:30:00Z,2025-05-17T02:30:00Z,2025-05-17T02:52:00Z,2025-05-17T04:09:00Z,60,68,81,0,0,107,1310.5,99,73
MR2924,2025-05-17,VT-OQ42,1040,MAA,COK,2025-05-17T05:15:00Z,2025-05-17T05:22:00Z,2025-05-17T06:38:00Z,2025-05-17T06:54:00Z,7,13,,0,0,166,1736.9,92,72
MR2925,2025-05-17,VT-RO27,1034,PNQ,MAA,2025-05-17T03:00:00Z,2025-05-17T03:00:00Z,2025-05-17T04:52:00Z,2025-05-17T04:52:00Z,0,7,,0,0,166,393.8,112,101
MR2926,2025-05-17,VT-RO27,1096,MAA,CCU,2025-05-17T05:27:00Z,2025-05-17T06:04:00Z,2025-05-17T07:54:00Z,2025-05-17T08:42:00Z,37,30,73,0,0,131,2440.3,158,135
MR2927,2025-05-17,VT-RO27,1036,CCU,COK,2025-05-17T09:46:00Z,2025-05-17T10:33:00Z,2025-05-17T12:50:00Z,2025-05-17T13:40:00Z,47,41,11,0,0,168,924.5,187,176
MR2928,2025-05-17,VT-RO27,1068,COK,PNQ,2025-05-17T14:47:00Z,2025-05-17T14:48:00Z,2025-05-17T16:42:00Z,2025-05-17T16:49:00Z,1,-1,,0,0,143,759.4,121,98
MR2929,2025-05-17,VT-PH70,1043,GOI,LKO,2025-05-17T02:30:00Z,2025-05-17T02:38:00Z,2025-05-17T05:02:00Z,2025-05-17T05:18:00Z,8,7,,0,0,107,732.6,160,141
MR2930,2025-05-17,VT-PH70,1061,LKO,PNQ,2025-05-17T06:09:00Z,2025-05-17T06:09:00Z,2025-05-17T08:20:00Z,2025-05-17T08:27:00Z,0,3,,0,1,158,658.2,138,113
MR2931,2025-05-17,VT-PH70,1037,PNQ,DEL,2025-05-17T09:07:00Z,2025-05-17T10:35:00Z,2025-05-17T11:16:00Z,2025-05-17T12:44:00Z,88,86,81,0,0,163,898.7,129,117
MR2932,2025-05-17,VT-PH70,1111,DEL,PNQ,2025-05-17T13:37:00Z,2025-05-17T15:33:00Z,2025-05-17T15:46:00Z,2025-05-17T17:39:00Z,116,110,89,0,0,155,1470.0,126,113
MR2933,2025-05-17,VT-PH70,1022,PNQ,HYD,2025-05-17T18:47:00Z,2025-05-17T18:47:00Z,2025-05-17T20:10:00Z,2025-05-17T20:17:00Z,0,-8,,0,0,166,1920.2,90,65
MR2934,2025-05-17,VT-YK23,1066,CCU,GOI,2025-05-17T01:00:00Z,2025-05-17T01:25:00Z,2025-05-17T03:56:00Z,2025-05-17T04:23:00Z,25,19,71,0,0,130,1782.9,178,164
MR2935,2025-05-17,VT-YK23,1005,GOI,BOM,2025-05-17T05:27:00Z,2025-05-17T05:27:00Z,2025-05-17T06:43:00Z,2025-05-17T06:43:00Z,0,3,,0,0,153,2139.1,76,64
MR2936,2025-05-17,VT-UF78,1045,BOM,PNQ,2025-05-17T02:00:00Z,2025-05-17T02:04:00Z,2025-05-17T02:55:00Z,2025-05-17T03:13:00Z,4,5,,0,0,165,966.1,69,45
MR2937,2025-05-17,VT-UF78,1041,PNQ,BLR,2025-05-17T03:49:00Z,2025-05-17T03:49:00Z,2025-05-17T05:27:00Z,2025-05-17T05:27:00Z,0,-6,,0,1,167,923.3,98,85
MR2938,2025-05-17,VT-UF78,1115,BLR,HYD,2025-05-17T06:11:00Z,2025-05-17T06:11:00Z,2025-05-17T07:29:00Z,2025-05-17T07:23:00Z,0,-3,,0,0,127,2489.2,72,60
MR2939,2025-05-17,VT-ZZ00,1118,HYD,CCU,2025-05-17T02:00:00Z,2025-05-17T02:10:00Z,2025-05-17T04:16:00Z,2025-05-17T04:32:00Z,10,8,,0,0,140,1687.8,142,124
MR2940,2025-05-17,VT-TB89,1104,CCU,HYD,2025-05-17T05:13:00Z,2025-05-17T06:23:00Z,2025-05-17T07:29:00Z,2025-05-17T08:47:00Z,70,72,73,0,0,110,1931.9,144,118
MR2941,2025-05-17,VT-CQ40,1043,GOI,LKO,2025-05-17T03:15:00Z,2025-05-17T03:27:00Z,2025-05-17T05:47:00Z,2025-05-17T06:10:00Z,12,15,,0,0,83,1676.6,163,136
MR2942,2025-05-17,VT-CQ40,1003,LKO,HYD,2025-05-17T07:15:00Z,2025-05-17T07:15:00Z,2025-05-17T09:19:00Z,2025-05-17T09:30:00Z,0,-3,,0,0,103,1494.9,135,108
MR2943,2025-05-17,VT-CQ40,1018,HYD,AMD,2025-05-17T10:04:00Z,2025-05-17T12:17:00Z,2025-05-17T11:55:00Z,2025-05-17T14:17:00Z,133,137,61,0,0,78,1425.4,120,93
MR2944,2025-05-17,VT-CQ40,1067,AMD,PNQ,2025-05-17T14:53:00Z,2025-05-17T15:04:00Z,2025-05-17T16:16:00Z,2025-05-17T16:42:00Z,11,5,,0,0,84,809.9,98,70
MR2945,2025-05-17,VT-LG97,1010,BOM,COK,2025-05-17T02:45:00Z,2025-05-17T02:45:00Z,2025-05-17T04:47:00Z,2025-05-17T05:03:00Z,0,5,,0,0,130,517.4,138,111
MR2946,2025-05-17,VT-LG97,1000,COK,JAI,2025-05-17T05:55:00Z,2025-05-17T05:55:00Z,2025-05-17T08:54:00Z,2025-05-17T09:12:00Z,0,1,,0,0,98,1347.9,197,169
MR2947,2025-05-17,VT-LG97,1093,JAI,AMD,2025-05-17T10:08:00Z,2025-05-17T10:15:00Z,2025-05-17T11:32:00Z,2025-05-17T11:57:00Z,7,4,,0,0,79,2116.8,102,75
MR2948,2025-05-17,VT-LG97,1067,AMD,PNQ,2025-05-17T12:56:00Z,2025-05-17T13:40:00Z,2025-05-17T14:19:00Z,2025-05-17T15:19:00Z,44,43,93,0,0,80,2346.4,99,75
MR2949,2025-05-17,VT-LG97,1065,PNQ,AMD,2025-05-17T15:56:00Z,2025-05-17T16:43:00Z,2025-05-17T17:19:00Z,2025-05-17T18:07:00Z,47,50,89,0,0,88,1353.4,84,72
MR2950,2025-05-17,VT-SR39,1092,BOM,HYD,2025-05-17T03:30:00Z,2025-05-17T04:43:00Z,2025-05-17T05:02:00Z,2025-05-17T06:16:00Z,73,65,73,0,0,123,857.5,93,78
MR2951,2025-05-17,VT-SR39,1118,HYD,CCU,2025-05-17T07:26:00Z,2025-05-17T07:26:00Z,2025-05-17T09:42:00Z,2025-05-17T09:39:00Z,0,3,,0,0,102,2165.8,133,118
MR2952,2025-05-17,,1104,CCU,HYD,2025-05-17T10:42:00Z,2025-05-17T10:55:00Z,2025-05-17T12:58:00Z,2025-05-17T13:21:00Z,13,22,,0,0,100,384.0,146,127
MR2953,2025-05-17,VT-OT82,1036,CCU,COK,2025-05-17T01:45:00Z,2025-05-17T01:47:00Z,2025-05-17T04:49:00Z,2025-05-17T04:59:00Z,2,-2,,0,0,137,1757.4,192,173
MR2954,2025-05-17,VT-OT82,1081,COK,DEL,2025-05-17T06:09:00Z,2025-05-17T06:20:00Z,2025-05-17T09:22:00Z,2025-05-17T09:40:00Z,11,22,,0,0,107,1497.2,200,181
MR2955,2025-05-17,VT-OT82,1090,DEL,MAA,2025-05-17T10:15:00Z,2025-05-17T10:29:00Z,2025-05-17T13:07:00Z,2025-05-17T13:24:00Z,14,14,,0,0,79,817.5,175,158
MR2956,2025-05-17,VT-UL30,1091,AMD,JAI,2025-05-17T03:15:00Z,2025-05-17T05:17:00Z,2025-05-17T04:39:00Z,2025-05-17T06:46:00Z,122,125,11,0,0,61,2195.6,89,67
MR2957,2025-05-17,VT-UL30,1032,JAI,HYD,2025-05-17T07:37:00Z,2025-05-17T09:14:00Z,2025-05-17T09:42:00Z,2025-05-17T11:27:00Z,97,101,89,0,0,57,860.7,133,111
MR2958,2025-05-17,VT-UL30,1106,HYD,BLR,2025-05-17T12:05:00Z,2025-05-17T12:05:00Z,2025-05-17T13:23:00Z,2025-05-17T13:38:00Z,0,-6,,0,0,56,462.7,93,70
MR2959,2025-05-17,VT-UL30,1009,BLR,JAI,2025-05-17T14:24:00Z,2025-05-17T15:47:00Z,2025-05-17T16:59:00Z,2025-05-17T18:36:00Z,83,84,93,0,0,41,1033.5,169,143
MR2960,2025-05-17,VT-CF18,1119,AMD,GOI,2025-05-17T03:00:00Z,2025-05-17T05:18:00Z,2025-05-17T04:47:00Z,2025-05-17T07:03:00Z,138,146,89,0,0,111,1921.9,105,92
