flight_id,flight_date,tail_number,route_id,origin,dest,sched_dep_utc,actual_dep_utc,sched_arr_utc,actual_arr_utc,dep_delay_min,arr_delay_min,delay_code,cancelled,diverted,passengers,cargo_kg,block_min,air_min
MR2570,2025-05-14,VT-YB24,1025,BLR,PNQ,2025-05-14T01:00:00Z,2025-05-14T01:11:00Z,2025-05-14T02:38:00Z,2025-05-14T02:51:00Z,11,6,,0,0,129,350.6,100,90
MR2571,2025-05-14,VT-YB24,1022,PNQ,HYD,2025-05-14T03:55:00Z,2025-05-14T05:30:00Z,2025-05-14T05:18:00Z,2025-05-14T06:55:00Z,95,101,41,0,0,88,602.9,85,67
MR2572,2025-05-14,VT-YB24,1108,HYD,LKO,2025-05-14T08:00:00Z,2025-05-14T08:00:00Z,2025-05-14T10:04:00Z,2025-05-14T10:06:00Z,0,6,,0,0,97,1645.0,126,106
MR2573,2025-05-14,VT-YB24,1075,LKO,DEL,2025-05-14T10:36:00Z,2025-05-14T10:36:00Z,2025-05-14T11:55:00Z,2025-05-14T11:56:00Z,0,-6,,0,0,117,385.0,80,62
MR2574,2025-05-14,VT-YB24,1016,DEL,AMD,2025-05-14T12:35:00Z,2025-05-14T12:56:00Z,2025-05-14T14:17:00Z,2025-05-14T14:31:00Z,-45,17,36,0,0,80,2090.3,95,85
MR2575,2025-05-14,VT-TB89,1009,BLR,JAI,2025-05-14T01:15:00Z,2025-05-14T03:54:00Z,2025-05-14T03:50:00Z,2025-05-14T06:40:00Z,159,168,93,0,0,175,1473.6,166,140
MR2576,2025-05-14,VT-TB89,1030,JAI,CCU,2025-05-14T07:12:00Z,2025-05-14T09:26:00Z,2025-05-14T09:44:00Z,2025-05-14T12:12:00Z,134,132,51,0,0,145,759.2,166,142
MR2577,2025-05-14,VT-PH70,1011,HYD,MAA,2025-05-14T02:15:00Z,2025-05-14T02:15:00Z,2025-05-14T03:37:00Z,2025-05-14T03:46:00Z,0,0,,0,0,105,1658.0,91,67
MR2578,2025-05-14,VT-PH70,1099,MAA,AMD,2025-05-14T04:16:00Z,2025-05-14T04:20:00Z,2025-05-14T06:42:00Z,2025-05-14T06:47:00Z,4,4,,0,0,152,2286.9,147,135
MR2579,2025-05-14,VT-PH70,1039,AMD,LKO,2025-05-14T07:45:00Z,2025-05-14T10:27:00Z,2025-05-14T09:42:00Z,2025-05-14T12:19:00Z,162,158,36,0,0,161,745.2,112,99
MR2580,2025-05-14,VT-PH70,1033,LKO,MAA,2025-05-14T12:54:00Z,2025-05-14T14:11:00Z,2025-05-14T15:29:00Z,2025-05-14T16:54:00Z,77,74,41,0,0,136,2308.0,163,139
MR2581,2025-05-14,VT-PH70,1101,MAA,JAI,2025-05-14T17:51:00Z,,2025-05-14T20:32:00Z,,,,,1,0,0,0.0,,
MR2582,2025-05-14,VT-RO27,1031,AMD,CCU,2025-05-14T02:15:00Z,2025-05-14T02:23:00Z,2025-05-14T05:07:00Z,2025-05-14T05:15:00Z,8,11,,0,0,99,1045.2,172,156
MR2583,2025-05-14,VT-RO27,1007,CCU,MAA,2025-05-14T06:14:00Z,2025-05-14T08:42:00Z,2025-05-14T08:41:00Z,2025-05-14T11:11:00Z,148,156,73,0,0,161,2490.0,149,136
MR2584,2025-05-14,VT-QD90,1104,CCU,HYD,2025-05-14T02:45:00Z,2025-05-14T05:14:00Z,2025-05-14T05:01:00Z,2025-05-14T07:50:00Z,149,149,61,0,0,120,1759.5,156,128
MR2585,2025-05-14,VT-QD90,1018,HYD,AMD,2025-05-14T08:40:00Z,2025-05-14T10:38:00Z,2025-05-14T10:31:00Z,2025-05-14T12:34:00Z,118,124,73,0,0,108,2212.5,116,101
