flight_id,flight_date,tail_number,route_id,origin,dest,sched_dep_utc,actual_dep_utc,sched_arr_utc,actual_arr_utc,dep_delay_min,arr_delay_min,delay_code,cancelled,diverted,passengers,cargo_kg,block_min,air_min
MR2105,2025-05-10,VT-EV70,1089,CCU,DEL,2025-05-10T01:45:00Z,2025-05-10T01:45:00Z,2025-05-10T04:12:00Z,2025-05-10T04:21:00Z,0,6,,0,0,174,2481.9,156,137
MR2106,2025-05-10,VT-EV70,1051,DEL,BLR,2025-05-10T05:31:00Z,2025-05-10T05:40:00Z,2025-05-10T08:19:00Z,2025-05-10T08:26:00Z,9,2,,0,0,162,1031.3,166,152
MR2107,2025-05-10,VT-EV70,1025,BLR,PNQ,2025-05-10T09:11:00Z,2025-05-10T09:21:00Z,2025-05-10T10:49:00Z,2025-05-10T11:14:00Z,10,20,,0,0,149,1058.5,113,85
MR2108,2025-05-10,VT-EV70,1026,PNQ,JAI,2025-05-10T11:49:00Z,2025-05-10T12:34:00Z,2025-05-10T13:42:00Z,2025-05-10T14:35:00Z,45,38,51,0,0,137,1909.6,121,95
MR2109,2025-05-10,VT-YK23,1091,AMD,JAI,2025-05-10T02:45:00Z,2025-05-10T03:06:00Z,2025-05-10T04:09:00Z,2025-05-10T04:29:00Z,21,25,89,0,0,153,1071.8,83,66
MR2110,2025-05-10,VT-YK23,1050,JAI,MAA,2025-05-10T05:08:00Z,2025-05-10T06:20:00Z,2025-05-10T07:49:00Z,2025-05-10T09:06:00Z,72,67,81,0,0,170,1895.3,166,146
MR2111,2025-05-10,VT-YK23,1103,MAA,BOM,2025-05-10T10:04:00Z,2025-05-10T10:45:00Z,2025-05-10T12:05:00Z,2025-05-10T12:43:00Z,41,37,41,0,0,154,654.8,118,103
MR2112,2025-05-10,VT-YK23,1008,BOM,LKO,2025-05-10T13:26:00Z,2025-05-10T13:26:00Z,2025-05-10T15:40:00Z,2025-05-10T15:47:00Z,0,12,,0,0,168,2099.1,141,120
MR2113,2025-05-10,VT-AX45,1001,LKO,BOM,2025-05-10T03:15:00Z,2025-05-10T03:15:00Z,2025-05-10T05:29:00Z,2025-05-10T05:39:00Z,0,0,,0,0,98,1866.8,144,119
MR2114,2025-05-10,VT-AX45,1058,BOM,DEL,2025-05-10T06:12:00Z,2025-05-10T08:54:00Z,2025-05-10T08:20:00Z,2025-05-10T11:03:00Z,162,154,61,0,0,138,1431.9,129,110
